ticker,secShortName,return20
000253,景顺长城景兴信用纯债-C,-0.000799360511591
000252,景顺长城景兴信用纯债-A,-0.000786163522013
000175,汇添富高息债债券-C,-0.000782528277726
000669,国寿安保尊享债券-C,-0.000771604938272
000174,汇添富高息债债券-A,-0.000768263723984
000187,华泰柏瑞丰盛纯债债券-A,-0.000738188976378
000834,大成纳斯达克100指数,-0.000696378830083
000571,中邮双动力混合,-0.000661375661376
000071,华夏恒生ETF联接-CNY,-0.000620775279349
000058,国联安保本混合,-0.000598699965789
000897,鑫元半年定开债券-C,-0.000313643491898
000896,鑫元半年定开债券-A,-0.000206846623229
000141,富国国有企业债-C,0.0
000377,上投摩根双债增利债券-A,0.0
000765,上投摩根岁岁盈定开债券-B,0.0
000617,上投摩根优信增利债券-C,0.0
000876,建信稳定得利债券-C,0.0
000258,上投摩根岁岁盈定开债券-C,0.0
000788,前海开源中国成长灵活配置混合,0.0
000347,建信安心回报两年定开债券-C,0.0
000346,建信安心回报两年定开债券-A,0.0
000345,鹏华丰融定开债券,0.0
001136,易方达裕如灵活配置混合,0.0
001299,兴业添利债券,0.0
000333,长城稳固收益债券-A,0.0
000085,博时安盈债-C,0.0
000320,泰达宏利淘利债券-C,0.0
000319,泰达宏利淘利债券-A,0.0
001274,民生加银新动力灵活配置混合-D,0.0
000938,华商稳固添利债券-C,0.0
000839,上投摩根纯债丰利债券-A,0.0
000503,中信建投稳信定开债券-A,0.0
000280,博时双债增强债-A,0.0
000840,上投摩根纯债丰利债券-C,0.0
001157,国联安睿祺灵活配置混合,0.0
000281,博时双债增强债-C,0.0
001274,民生加银新动力灵活配置混合-D,0.0
000378,上投摩根双债增利债券-C,0.0
000260,信诚季季定期支付债券,0.0
000766,上投摩根岁岁盈定开债券-D,0.0
000385,景顺长城景颐双利债券-A,0.0
000420,摩根士丹利华鑫优质信价纯债债券-C,0.0
000181,景顺长城四季金利债券-A,0.0
000419,摩根士丹利华鑫优质信价纯债债券-A,0.0
000668,国寿安保尊享债券-A,0.0
000679,招商丰利灵活配置混合-A,0.0
000086,南方稳利1年定开债券-A,0.0
000426,大成信用增利一年债券-A,0.0
000427,大成信用增利一年债券-C,0.0
000720,南方稳利1年定开债券-C,0.0
000109,富国稳健增强债券-C,0.0
000736,诺安聚利债券-A,0.0
000616,上投摩根优信增利债券-A,0.0
000465,景顺长城鑫月薪定期支付债券,0.0
000386,景顺长城景颐双利债券-C,0.0
000106,建信安心回报债券-C,0.0
000889,上投摩根纯债添利债券-A,0.0
000737,诺安聚利债券-C,0.0
000152,大成景旭纯债-A,0.0
000078,工银信用纯债两年定开债券-A,0.0
000105,建信安心回报债券-A,0.0
000053,鹏华实业债纯债债券,7.33837234901e-05
000497,财通纯债债券-A,0.000483652544012
000110,金鹰元安混合-A,0.000567268601683
000655,鑫元稳利债券,0.000653167864141
000405,信诚月月定期支付债券,0.000782472613459
001031,华夏安康债券-A,0.000795142402776
000639,宝盈祥瑞养老混合,0.000799733422193
000776,天弘瑞利分级债券-B,0.000819672131148
000774,天弘瑞利分级债券,0.000833333333333
000875,建信稳定得利债券-A,0.000854700854701
000047,华夏双债债券-A,0.000864677907479
000182,景顺长城四季金利债券-C,0.000877963125549
000802,中金纯债债券-C,0.000903342366757
